"paragraph"	"words"	"characters"	"sentence"
"1359"	92	4	12	"Cras a enim."
"1360"	93	3	13	"Quisque nisl."
"1361"	93	5	27	"In dignissim dapibus massa."
"1362"	93	15	74	"Aenean sem magna, scelerisque nec, ullamcorper quis, porttitor ut, lectus."
"1363"	93	5	33	"Fusce dignissim facilisis tortor."
"1364"	93	7	36	"Vivamus gravida felis sit amet nunc."
"1365"	93	6	27	"Nam pulvinar odio vel enim."
"1366"	93	5	26	"Pellentesque sit amet est."
"1367"	93	6	32	"Vivamus pulvinar leo non sapien."
"1368"	93	4	22	"Aliquam erat volutpat."
"1369"	93	5	26	"Ut elementum auctor metus."
"1370"	93	6	35	"Mauris vestibulum neque vitae eros."
"1371"	93	4	26	"Pellentesque aliquam quam."
"1372"	93	5	32	"Donec venenatis tristique purus."
"1373"	93	3	8	"In nisl."
"1374"	93	15	63	"Nulla velit libero, fermentum at, porta a, feugiat vitae, urna."
"1375"	93	5	27	"Etiam aliquet ornare ipsum."
"1376"	93	4	16	"Proin non dolor."
"1377"	93	16	83	"Aenean nunc ligula, venenatis suscipit, porttitor sit amet, mattis suscipit, magna."
"1378"	93	5	28	"Vivamus egestas viverra est."
"1379"	93	8	42	"Morbi at risus sed sapien sodales pretium."
"1380"	94	5	26	"Morbi congue congue metus."
"1381"	94	4	17	"Aenean sed purus."
"1382"	94	15	67	"Nam pede magna, tristique nec, porta id, sollicitudin quis, sapien."
"1383"	94	3	19	"Vestibulum blandit."
"1384"	94	8	49	"Suspendisse ut augue ac nibh ullamcorper posuere."
"1385"	94	20	104	"Integer euismod, neque at eleifend fringilla, augue elit ornare dolor, vel tincidunt purus est id lacus."
"1386"	94	15	70	"Vivamus lorem dui, commodo quis, scelerisque eu, tincidunt non, magna."
"1387"	94	3	13	"Cras sodales."
"1388"	94	5	33	"Quisque vestibulum pulvinar diam."
"1389"	94	20	115	"Phasellus tincidunt, leo vitae tristique facilisis, ipsum wisi interdum sem, dapibus semper nulla velit vel lectus."
"1390"	94	6	29	"Cras dapibus mauris et augue."
"1391"	94	6	31	"Quisque cursus nulla in libero."
"1392"	94	9	54	"Suspendisse et lorem sit amet mauris malesuada mollis."
"1393"	94	4	16	"Nullam id justo."
"1394"	94	3	19	"Maecenas venenatis."
"1395"	94	15	71	"Donec lacus arcu, egestas ac, fermentum consectetuer, tempus eu, metus."
"1396"	94	20	108	"Proin sodales, sem in pretium fermentum, arcu sapien commodo mauris, venenatis consequat augue urna in wisi."
"1397"	94	15	68	"Quisque sapien nunc, varius eget, condimentum quis, lacinia in, est."
"1398"	94	3	16	"Fusce facilisis."
"1399"	94	4	19	"Praesent nec ipsum."
"1400"	95	4	20	"Suspendisse a dolor."
"1401"	95	15	57	"Nam erat eros, congue eget, sagittis a, lacinia in, pede."
"1402"	95	4	17	"Maecenas in elit."
"1403"	95	5	27	"Proin molestie varius nibh."
"1404"	95	6	34	"Vivamus tristique purus sed augue."
"1405"	95	5	28	"Proin egestas semper tortor."
"1406"	95	29	179	"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos."
"1407"	95	15	70	"Vestibulum orci enim, sagittis ornare, eleifend ut, mattis at, ligula."
"1408"	95	5	30	"Nulla molestie convallis arcu."
"1409"	95	15	64	"Ut eros tellus, condimentum at, sodales in, ultrices vel, nulla."
"1410"	96	15	67	"Duis magna ante, bibendum eget, eleifend eget, suscipit sed, neque."
"1411"	96	8	41	"Vestibulum in mi sed massa cursus cursus."
"1412"	96	5	35	"Pellentesque pulvinar mollis neque."
"1413"	96	8	47	"Fusce ut enim vitae mauris malesuada tincidunt."
"1414"	96	4	16	"Vivamus a neque."
"1415"	96	20	101	"Mauris pulvinar, sapien id condimentum dictum, quam arcu rhoncus dui, id tempor lacus justo et justo."
"1416"	96	9	45	"Proin sit amet orci eu diam eleifend blandit."
"1417"	96	15	74	"Nunc erat massa, luctus ac, fermentum lacinia, tincidunt ultrices, sapien."
"1418"	96	8	54	"Praesent sed orci vitae dolor sollicitudin adipiscing."
"1419"	96	4	13	"Cras a neque."
"1420"	96	15	59	"Ut risus dui, interdum at, placerat id, tristique eu, enim."
"1421"	96	20	127	"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Etiam adipiscing eros vestibulum dolor."
"1422"	96	20	112	"Pellentesque aliquam, diam eget eleifend posuere, augue eros porttitor lectus, ac dignissim dui metus nec felis."
"1423"	96	3	16	"Quisque lacinia."
"1424"	96	3	18	"Vestibulum tellus."
"1425"	96	4	21	"Suspendisse nec wisi."
"1426"	96	4	16	"Aenean ac felis."
"1427"	96	6	32	"Aliquam ultrices metus et nulla."
"1428"	97	8	43	"Praesent sed est non nibh tempus venenatis."
"1429"	97	3	17	"Praesent rhoncus."
"1430"	97	7	38	"Curabitur sagittis est sit amet neque."
"1431"	97	5	29	"Sed commodo malesuada lectus."
"1432"	97	15	65	"Phasellus enim tellus, tempor ut, tristique eu, aliquam eu, quam."
"1433"	97	8	44	"Aenean quis quam quis wisi gravida vehicula."
"1434"	97	8	43	"Pellentesque a massa a leo pretium rhoncus."
"1435"	97	3	21	"Suspendisse ultrices."
"1436"	97	5	30	"Donec lacinia malesuada massa."
"1437"	97	15	91	"Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos."
"1438"	97	5	28	"Donec pretium ornare mauris."
"1439"	97	6	32	"Phasellus auctor erat eget enim."
"1440"	97	20	113	"Integer scelerisque, felis eu consequat fringilla, lorem wisi ultricies velit, id vehicula purus nulla eget odio."
"1441"	97	20	98	"Nullam mattis, diam a rutrum fermentum, odio sapien tristique quam, id mollis tellus quam in odio."
"1442"	97	4	17	"Mauris eu sapien."
"1443"	97	9	53	"Donec aliquam lorem sit amet lorem pharetra lobortis."
"1444"	98	4	15	"Donec ac velit."
"1445"	98	5	32	"Sed convallis vestibulum sapien."
"1446"	98	6	31	"Vivamus tempor lacus sed lacus."
"1447"	98	4	14	"Nunc ut lorem."
"1448"	98	4	13	"Ut et tortor."
"1449"	98	6	27	"Nullam varius wisi at diam."
"1450"	98	21	123	"Etiam ultricies, dolor sit amet fermentum vulputate, neque libero vestibulum orci, vitae fringilla neque arcu aliquet ante."
"1451"	98	10	57	"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
"1452"	98	5	33	"Quisque venenatis lobortis augue."
"1453"	98	20	110	"Sed tempor, tellus iaculis pellentesque pharetra, pede dui malesuada mauris, vel ultrices urna mauris ac nibh."
"1454"	98	15	79	"Etiam nibh odio, ultricies vehicula, vestibulum vitae, feugiat eleifend, felis."
"1455"	98	3	17	"Vivamus pulvinar."
"1456"	98	4	22	"Aliquam erat volutpat."
"1457"	98	5	30	"Nulla egestas venenatis metus."
"1458"	98	8	44	"Nam feugiat nunc quis elit egestas sagittis."
"1459"	98	4	16	"Sed vitae felis."
"1460"	98	15	58	"In libero arcu, rhoncus in, commodo eget, auctor in, enim."
"1461"	98	4	21	"Vivamus suscipit est."
"1462"	98	21	110	"Nulla dapibus, magna vel aliquet egestas, massa massa hendrerit lacus, ac rutrum tellus tellus sit amet felis."
"1463"	98	3	13	"Cras viverra."
"1464"	99	4	20	"Suspendisse eu nunc."
"1465"	99	7	39	"Aliquam dignissim urna sit amet mauris."
"1466"	99	20	104	"Cras commodo, urna ut porttitor venenatis, arcu metus sodales risus, vitae gravida sapien ligula in est."
"1467"	99	5	34	"Donec vulputate sollicitudin wisi."
"1468"	99	20	104	"Donec vehicula, est id interdum ornare, nibh tellus consectetuer justo, a ultrices felis erat at lectus."
"1469"	99	15	63	"In est massa, malesuada non, suscipit at, ullamcorper eu, elit."
"1470"	99	16	70	"Nam nulla lacus, bibendum sit amet, sagittis sed, tempor eget, libero."
"1471"	99	3	16	"Praesent ligula."
"1472"	99	3	18	"Suspendisse nulla."
"1473"	99	3	11	"Etiam diam."
"1474"	99	15	66	"Nulla ante diam, vestibulum et, aliquet ac, imperdiet vitae, urna."
"1475"	99	6	31	"Fusce tincidunt lacus vel elit."
"1476"	99	20	104	"Maecenas dictum, tortor non euismod bibendum, pede nibh pretium tellus, at dignissim leo eros eget pede."
"1477"	99	5	30	"Nulla venenatis eleifend eros."
"1478"	99	8	47	"Aenean ut odio dignissim augue rutrum faucibus."
"1479"	99	20	96	"Fusce posuere, tellus eget viverra mattis, erat tellus porta mi, at facilisis sem nibh non urna."
"1480"	99	8	53	"Phasellus quis turpis quis mauris suscipit vulputate."
"1481"	99	6	29	"Sed interdum lacus non velit."
"1482"	99	14	87	"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae."
"1483"	100	6	29	"Vivamus vehicula leo a justo."
"1484"	100	4	18	"Quisque nec augue."
"1485"	100	15	80	"Morbi mauris wisi, aliquet vitae, dignissim eget, sollicitudin molestie, ligula."
"1486"	100	7	30	"In dictum enim sit amet risus."
"1487"	100	8	48	"Curabitur vitae velit eu diam rhoncus hendrerit."
"1488"	100	4	16	"Vivamus ut elit."
"1489"	100	6	34	"Praesent mattis ipsum quis turpis."
"1490"	100	6	31	"Curabitur rhoncus neque eu dui."
"1491"	100	4	18	"Etiam vitae magna."
"1492"	100	3	16	"Nam ullamcorper."
"1493"	100	5	33	"Praesent interdum bibendum magna."
"1494"	100	5	29	"Quisque auctor aliquam dolor."
"1495"	100	8	42	"Morbi eu lorem et est porttitor fermentum."
"1496"	100	8	43	"Nunc egestas arcu at tortor varius viverra."
"1497"	100	8	46	"Fusce eu nulla ut nulla interdum consectetuer."
"1498"	100	3	19	"Vestibulum gravida."
"1499"	100	6	28	"Morbi mattis libero sed est."
"1500"	101	4	14	"Nam quis enim."
"1501"	101	6	28	"Quisque ornare dui a tortor."
"1502"	101	6	41	"Fusce consequat lacus pellentesque metus."
"1503"	101	3	13	"Duis euismod."
"1504"	101	4	14	"Duis non quam."
"1505"	101	8	46	"Maecenas vitae dolor in ipsum auctor vehicula."
"1506"	101	8	43	"Vivamus nec nibh eget wisi varius pulvinar."
"1507"	101	4	13	"Cras a lacus."
"1508"	101	4	15	"Etiam et massa."
"1509"	101	9	48	"Donec in nisl sit amet dui imperdiet vestibulum."
"1510"	101	6	28	"Duis porttitor nibh id eros."
"1511"	102	20	106	"Mauris consectetuer, wisi eu lobortis scelerisque, urna nibh feugiat quam, id congue eros justo eget orci."
"1512"	102	3	10	"Ut tellus."
"1513"	102	6	32	"Maecenas mattis sapien sed eros."
"1514"	102	4	20	"Aliquam quis lectus."
"1515"	102	8	40	"Donec nec massa ac turpis semper cursus."
"1516"	102	6	33	"Etiam consectetuer ante vel odio."
"1517"	102	6	34	"Aliquam tincidunt felis non dolor."
"1518"	102	8	39	"Cras id augue ut nisl pretium placerat."
"1519"	102	15	69	"Phasellus sapien sapien, pharetra sed, aliquam nec, suscipit a, nibh."
"1520"	102	3	18	"Suspendisse risus."
"1521"	102	8	45	"Nulla ut mi eget tellus sollicitudin euismod."
"1522"	102	5	35	"Vestibulum malesuada malesuada dui."
"1523"	102	8	34	"Ut at est ac dui aliquam sagittis."
"1524"	102	4	22	"Aliquam erat volutpat."
"1525"	103	6	36	"Curabitur ullamcorper est in mauris."
"1526"	103	4	18	"Praesent ac massa."
"1527"	103	15	62	"Quisque enim odio, lobortis nec, mattis ut, luctus et, mauris."
"1528"	103	4	16	"Mauris eu risus."
"1529"	103	14	85	"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
"1530"	103	4	15	"Duis eu ligula."
"1531"	103	6	34	"Nulla vehicula leo tincidunt erat."
"1532"	103	4	17	"Maecenas et nunc."
"1533"	103	4	14	"Sed ut sapien."
"1534"	103	4	18	"Vestibulum in est."
"1535"	103	3	19	"Vestibulum rhoncus."
"1536"	104	15	70	"Donec metus metus, condimentum eu, accumsan nec, vulputate non, purus."
"1537"	104	5	39	"Vestibulum ullamcorper vehicula sapien."
"1538"	104	15	65	"Mauris risus odio, hendrerit ac, congue ac, ullamcorper at, odio."
"1539"	104	15	70	"Aenean leo justo, commodo vitae, placerat blandit, malesuada vel, sem."
"1540"	104	9	56	"Donec sit amet ante eget mauris adipiscing sollicitudin."
"1541"	104	6	29	"Curabitur posuere sem et leo."
"1542"	104	4	23	"Nulla ultricies mauris."
"1543"	104	20	124	"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Fusce sollicitudin augue vel tellus."
"1544"	104	15	68	"Vivamus mauris eros, pharetra vel, lacinia pretium, egestas a, nibh."
"1545"	104	4	15	"Morbi a ligula."
"1546"	105	4	19	"Donec vitae turpis."
"1547"	105	3	22	"Suspendisse porttitor."
"1548"	105	6	34	"Mauris aliquam purus vitae tellus."
"1549"	105	15	62	"Morbi metus diam, tempus ac, cursus ut, ultricies quis, nulla."
"1550"	105	4	19	"Praesent nec justo."
"1551"	105	3	12	"In lobortis."
"1552"	105	8	41	"Donec nec lectus a neque laoreet rhoncus."
"1553"	105	8	46	"Quisque in risus nec wisi lacinia ullamcorper."
"1554"	105	3	12	"In placerat."
"1555"	105	5	36	"Proin facilisis sollicitudin libero."
"1556"	105	8	44	"Integer eget neque et pede placerat aliquet."
"1557"	105	15	69	"Aliquam purus nulla, pulvinar ut, facilisis quis, sodales sed, magna."
"1558"	105	15	68	"Curabitur nulla lectus, rutrum id, bibendum ut, sagittis eget, diam."
"1559"	105	6	25	"Sed porta dolor eget est."
"1560"	105	4	23	"Integer hendrerit orci."
"1561"	105	6	33	"In hac habitasse platea dictumst."
"1562"	106	3	13	"Ut facilisis."
"1563"	106	10	57	"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
"1564"	106	21	110	"Sed pellentesque, turpis sit amet aliquet porta, risus odio venenatis felis, at porta tellus lacus vitae nisl."
"1565"	106	3	12	"Donec augue."
"1566"	106	20	113	"Quisque consequat, pede laoreet pellentesque posuere, urna sapien tempor justo, eu aliquam tortor nunc id mauris."
"1567"	106	21	116	"Fusce pretium, purus facilisis consequat mattis, ligula leo pretium mauris, ac suscipit augue sapien sit amet ipsum."
"1568"	106	8	47	"Praesent et ligula eget tortor dapibus blandit."
"1569"	106	6	29	"Duis rutrum felis eget dolor."
"1570"	106	4	21	"Vestibulum quis elit."
"1571"	106	20	113	"Integer dignissim, velit at scelerisque congue, ipsum nulla dignissim dolor, lacinia scelerisque neque erat a mi."
"1572"	106	10	57	"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
"1573"	106	15	63	"Quisque ipsum lectus, euismod et, lacinia eu, iaculis eu, pede."
"1574"	106	15	61	"Etiam justo quam, cursus ut, vulputate vel, feugiat ut, eros."
"1575"	106	5	28	"Fusce eleifend mollis ipsum."
"1576"	107	3	15	"Nulla facilisi."
"1577"	107	4	14	"Nunc nec elit."
"1578"	107	5	32	"Integer ornare convallis tortor."
"1579"	107	4	14	"Proin ac diam."
"1580"	107	15	62	"In est sapien, laoreet euismod, mattis a, tincidunt at, risus."
"1581"	107	3	14	"Vivamus risus."
"1582"	107	21	125	"Vestibulum aliquam, urna aliquam porttitor accumsan, nulla tortor ullamcorper elit, ut consequat augue purus sit amet libero."
"1583"	107	15	67	"Vivamus nisl lacus, commodo vel, dignissim ut, vestibulum id, pede."
"1584"	107	5	37	"Curabitur malesuada hendrerit libero."
"1585"	107	8	43	"Mauris quis dolor in tellus varius posuere."
"1586"	107	6	27	"Sed vulputate elit at wisi."
"1587"	107	4	18	"Fusce vitae neque."
"1588"	107	20	104	"Nulla consectetuer, nunc ac eleifend laoreet, mi nulla commodo wisi, vel faucibus ligula lectus ut arcu."
"1589"	107	3	18	"Vivamus hendrerit."
"1590"	108	20	109	"Sed varius, nulla vitae tincidunt lobortis, nibh ipsum sollicitudin libero, et commodo tellus massa in neque."
"1591"	108	3	15	"Nulla facilisi."
"1592"	108	4	18	"Aenean nec lectus."
"1593"	108	3	18	"Aliquam fermentum."
"1594"	108	8	40	"Duis ut magna et augue interdum gravida."
"1595"	108	3	11	"Morbi elit."
"1596"	108	5	29	"Fusce malesuada tempus ipsum."
"1597"	108	14	85	"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
"1598"	108	6	30	"Mauris iaculis enim non metus."
"1599"	108	15	63	"Nullam dui magna, congue et, suscipit sed, aliquam vel, turpis."
"1600"	108	3	18	"Quisque ultricies."
"1601"	109	6	40	"Suspendisse feugiat sapien laoreet ante."
"1602"	109	20	111	"Integer fringilla, erat eget adipiscing ultrices, nibh dui sollicitudin nunc, in lobortis arcu odio vitae erat."
"1603"	109	5	31	"Fusce bibendum ultricies lacus."
"1604"	109	6	30	"Mauris eleifend ligula a ante."
"1605"	109	5	27	"Etiam faucibus cursus pede."
"1606"	109	16	67	"Mauris enim eros, malesuada eu, mattis sit amet, blandit in, nulla."
"1607"	109	9	45	"Fusce sit amet purus id mi posuere tincidunt."
"1608"	109	9	48	"Mauris sit amet quam vitae quam semper accumsan."
"1609"	109	10	57	"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
"1610"	109	8	37	"Nam a justo at quam accumsan euismod."
"1611"	109	5	31	"Duis tincidunt tristique risus."
"1612"	109	8	40	"Ut vel nibh vel libero varius malesuada."
"1613"	109	6	33	"In hac habitasse platea dictumst."
"1614"	109	5	28	"Morbi sagittis mattis lorem."
"1615"	109	15	79	"Pellentesque metus tellus, rutrum vitae, malesuada et, pharetra accumsan, ante."
"1616"	109	8	46	"Quisque ac metus ac nisl gravida pellentesque."
"1617"	109	5	27	"Sed dapibus feugiat sapien."
"1618"	109	8	46	"Vestibulum nec nunc eget sem aliquam lobortis."
"1619"	109	6	36	"Suspendisse aliquam quam quis metus."
"1620"	110	4	20	"Suspendisse in odio."
"1621"	110	15	59	"In elit diam, cursus vitae, venenatis in, molestie in, leo."
"1622"	110	3	12	"Cras ornare."
"1623"	110	3	13	"Nulla libero."
"1624"	110	5	32	"Phasellus feugiat mattis libero."
"1625"	110	5	28	"Sed vehicula aliquam ligula."
"1626"	110	20	111	"Nullam lacinia, felis vel dignissim sodales, enim lectus lobortis diam, quis nonummy mauris odio auctor tortor."
"1627"	110	8	43	"Integer in dui nec lacus bibendum ultrices."
"1628"	110	15	65	"Etiam odio elit, aliquam et, porttitor id, interdum cursus, elit."
"1629"	110	5	29	"Nulla eleifend tempor mauris."
"1630"	110	8	40	"In vel arcu quis pede laoreet vulputate."
"1631"	111	6	29	"Morbi pharetra magna a lorem."
"1632"	111	3	12	"Cras sapien."
"1633"	111	5	29	"Duis porttitor vehicula urna."
"1634"	111	20	112	"Phasellus iaculis, mi vitae varius consequat, purus nibh sollicitudin mauris, quis aliquam felis dolor vel elit."
"1635"	111	15	69	"Quisque neque mi, bibendum non, tristique convallis, congue eu, quam."
"1636"	111	4	16	"Etiam vel felis."
"1637"	111	8	42	"Quisque ac ligula at orci pulvinar rutrum."
"1638"	111	15	66	"Donec mi eros, sagittis eu, consectetuer sed, sagittis sed, lorem."
"1639"	111	4	14	"Nunc sed eros."
"1640"	111	6	37	"Nullam pellentesque ante quis lectus."
"1641"	111	20	100	"Vivamus lacinia, sapien vel fermentum placerat, purus nisl aliquet odio, et porta wisi dui nec nunc."
"1642"	111	5	26	"Fusce porta cursus libero."
"1643"	112	8	37	"Quisque eu mi a augue mollis posuere."
"1644"	112	20	103	"Donec tincidunt, lorem at vestibulum pulvinar, felis purus nonummy urna, at accumsan purus dui nec leo."
"1645"	112	15	67	"Praesent tortor turpis, vehicula in, aliquet ut, dignissim ac, leo."
"1646"	112	6	30	"Curabitur sagittis mi id eros."
"1647"	112	3	9	"In magna."
"1648"	112	8	50	"Sed vitae elit facilisis elit semper sollicitudin."
"1649"	112	5	33	"Curabitur convallis tempor nulla."
"1650"	112	8	43	"Nullam non turpis a pede sagittis ultrices."
"1651"	112	6	31	"Etiam vulputate pede in ligula."
"1652"	112	8	42	"Sed a ante id metus pellentesque suscipit."
"1653"	112	6	34	"Sed adipiscing justo vitae sapien."
"1654"	112	20	115	"Nunc posuere, pede ullamcorper gravida egestas, justo libero tincidunt arcu, vitae pellentesque arcu leo ut mauris."
"1655"	112	9	58	"Pellentesque auctor mauris sit amet elit luctus fringilla."
"1656"	112	4	14	"Cras sed wisi."
"1657"	112	6	31	"Morbi luctus enim vitae tellus."
"1658"	112	5	33	"Vivamus venenatis sodales libero."
"1659"	113	6	33	"In hac habitasse platea dictumst."
"1660"	113	3	20	"Suspendisse potenti."
"1661"	113	7	32	"Nulla pretium sem sit amet nisl."
"1662"	113	3	15	"Nulla facilisi."
"1663"	113	20	103	"Sed aliquam, turpis sed hendrerit gravida, nunc metus aliquam urna, eget pharetra nibh urna nec lectus."
"1664"	113	8	38	"Duis in nisl a nisl commodo facilisis."
"1665"	113	6	28	"Nunc placerat risus sed leo."
"1666"	113	5	31	"Duis pellentesque porta libero."
"1667"	113	4	17	"Praesent et enim."
"1668"	113	21	116	"Aenean ullamcorper, ante sit amet fermentum mollis, ligula metus laoreet magna, accumsan accumsan nibh wisi at wisi."
"1669"	113	5	27	"Nam tincidunt tempor neque."
"1670"	113	3	15	"Maecenas dolor."
"1671"	113	4	20	"Donec interdum nisl."
"1672"	113	15	66	"Aliquam quam libero, interdum quis, volutpat sed, semper ut, eros."
"1673"	113	5	33	"Pellentesque sodales auctor quam."
"1674"	113	6	31	"Nullam suscipit massa nec elit."
"1675"	113	3	17	"Nullam vulputate."
"1676"	114	4	16	"Aliquam a nulla."
"1677"	114	3	21	"Suspendisse suscipit."
"1678"	114	16	78	"Etiam lectus ante, interdum sit amet, euismod venenatis, condimentum eu, urna."
"1679"	114	4	16	"Etiam at turpis."
"1680"	114	4	17	"Cras quis ligula."
"1681"	114	20	106	"Cras varius, sapien non pellentesque bibendum, mauris wisi sodales sem, ac commodo mauris neque non felis."
"1682"	114	5	32	"Sed sollicitudin tincidunt arcu."
"1683"	114	9	50	"Nullam vel lectus sit amet magna tincidunt tempor."
"1684"	114	4	17	"Phasellus a ante."
"1685"	114	4	14	"Donec et diam."
"1686"	115	5	21	"Proin sit amet augue."
"1687"	115	3	15	"Praesent lacus."
"1688"	115	4	12	"Donec a leo."
"1689"	115	16	68	"Ut turpis ante, condimentum sed, sagittis a, blandit sit amet, enim."
"1690"	115	4	17	"Integer sed elit."
"1691"	115	5	28	"In ultricies blandit libero."
"1692"	115	8	55	"Proin molestie erat dignissim nulla convallis ultrices."
"1693"	115	4	17	"Aliquam in magna."
"1694"	115	20	112	"Etiam sollicitudin, eros a sagittis pellentesque, lacus odio volutpat elit, vel tincidunt felis dui vitae lorem."
"1695"	115	3	10	"Etiam leo."
"1696"	115	4	15	"Nulla et justo."
"1697"	116	5	29	"Integer interdum varius diam."
"1698"	116	6	25	"Nam aliquam velit a pede."
"1699"	116	6	29	"Vivamus dictum nulla et wisi."
"1700"	116	4	19	"Vestibulum a massa."
"1701"	116	8	47	"Donec vulputate nibh vitae risus dictum varius."
"1702"	116	20	118	"Nunc suscipit, nunc nec facilisis convallis, lacus ligula bibendum nulla, ac sollicitudin sapien nisl fermentum velit."
"1703"	116	10	57	"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
"1704"	116	8	49	"Nullam commodo dui ut augue molestie scelerisque."
"1705"	116	5	27	"Sed aliquet rhoncus tortor."
"1706"	116	21	112	"Fusce laoreet, turpis a facilisis tristique, leo mauris accumsan tellus, vitae ornare lacus pede sit amet purus."
"1707"	116	6	33	"Sed dignissim velit vitae ligula."
"1708"	116	10	51	"Sed sit amet diam sit amet arcu luctus ullamcorper."
"1709"	117	8	41	"Duis quis velit id elit facilisis luctus."
"1710"	117	4	15	"Donec nec elit."
"1711"	117	6	34	"Quisque ullamcorper arcu ac felis."
"1712"	117	3	14	"Phasellus leo."
"1713"	117	5	39	"Pellentesque consequat consequat purus."
"1714"	117	8	38	"Ut vel justo at pede facilisis tempor."
"1715"	117	5	29	"Integer tempus blandit dolor."
"1716"	117	8	45	"Donec eget neque sed elit ultricies molestie."
"1717"	117	5	27	"Cras cursus viverra tortor."
"1718"	117	5	30	"Cras commodo condimentum diam."
"1719"	117	5	37	"Pellentesque interdum malesuada wisi."
"1720"	117	4	20	"Suspendisse eu quam."
"1721"	117	3	19	"Donec consectetuer."
"1722"	117	15	68	"Suspendisse wisi purus, vestibulum at, vehicula vel, congue a, eros."
"1723"	117	6	31	"Nulla vulputate dolor at purus."
"1724"	118	8	47	"Suspendisse ac diam sed dui adipiscing pretium."
"1725"	118	21	110	"Donec ullamcorper, sapien nec tempor venenatis, enim felis euismod pede, ut auctor lacus lectus sit amet diam."
"1726"	118	6	30	"Vestibulum rutrum sem ut ante."
"1727"	118	3	11	"Nulla eros."
"1728"	118	8	48	"Quisque vitae nisl eget tellus feugiat volutpat."
"1729"	118	8	38	"Nam id neque eu quam sodales vehicula."
"1730"	118	20	97	"Nam dapibus, nulla eu iaculis placerat, pede est volutpat purus, id iaculis elit elit vel mauris."
"1731"	118	3	10	"Donec dui."
"1732"	118	6	33	"In hac habitasse platea dictumst."
"1733"	118	4	14	"Nunc non quam."
"1734"	118	5	27	"Proin euismod egestas eros."
"1735"	118	3	12	"Mauris nisl."
"1736"	118	3	10	"Sed neque."
"1737"	118	3	19	"Phasellus bibendum."
"1738"	118	8	39	"Proin ut purus in eros faucibus auctor."
"1739"	119	6	24	"Fusce mollis dui eu leo."
"1740"	119	15	63	"Sed sapien augue, porta at, posuere ut, ultrices molestie, est."
"1741"	119	8	46	"Vivamus quis pede nec erat placerat tincidunt."
"1742"	119	15	64	"Aenean odio dui, facilisis non, vehicula et, bibendum a, libero."
"1743"	119	16	72	"Etiam leo turpis, venenatis eleifend, nonummy sit amet, aliquam non, mi."
"1744"	119	4	17	"Maecenas eget mi."
"1745"	119	4	13	"Sed nec diam."
"1746"	119	15	71	"Integer orci tellus, pellentesque nec, bibendum quis, sodales ut, nibh."
"1747"	119	5	26	"Duis laoreet aliquet orci."
"1748"	119	10	56	"Curabitur sit amet sem sit amet nibh fermentum faucibus."
"1749"	119	20	108	"Donec adipiscing, ipsum id fringilla convallis, elit massa cursus augue, at lobortis massa augue nec ligula."
"1750"	119	4	15	"Proin ac lacus."
"1751"	120	8	40	"Nunc id nulla nec mauris iaculis rutrum."
"1752"	120	3	10	"Nunc nisl."
"1753"	120	3	11	"Integer mi."
"1754"	120	15	65	"Praesent lorem neque, egestas at, molestie in, faucibus et, eros."
"1755"	120	20	100	"Sed rutrum, ante vitae aliquet tincidunt, diam elit auctor risus, eu elementum purus turpis eu elit."
"1756"	120	4	14	"Proin ac orci."
"1757"	120	20	110	"Integer varius, urna non sollicitudin consequat, massa libero pharetra erat, et venenatis dui orci eget purus."
"1758"	120	6	31	"Aliquam iaculis est eget ipsum."
"1759"	120	4	18	"Ut volutpat velit."
"1760"	120	3	20	"Phasellus fringilla."
"1761"	120	6	31	"Aliquam mollis tellus vel odio."
"1762"	120	22	139	"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Vestibulum gravida sapien sed diam dictum pharetra."
"1763"	120	4	14	"Nulla ac odio."
"1764"	120	8	43	"Duis vitae metus ut purus feugiat interdum."
"1765"	120	15	64	"Duis eros enim, tincidunt ac, venenatis et, dignissim id, lacus."
"1766"	120	6	35	"Curabitur sagittis dolor nec augue."
"1767"	120	4	21	"Sed ultricies mauris."
"1768"	120	20	106	"Donec semper, enim eu vestibulum placerat, justo risus eleifend quam, ac semper velit pede convallis arcu."
"1769"	121	3	20	"Pellentesque tempus."
"1770"	121	5	27	"Fusce tempor euismod nulla."
"1771"	121	17	77	"Integer metus quam, semper sit amet, pellentesque sed, ornare sit amet, pede."
"1772"	121	3	12	"Sed viverra."
"1773"	121	4	22	"Aliquam erat volutpat."
"1774"	121	3	16	"Donec tristique."
